"RETAILER_CONTACT_CODE";"RETAILER_SITE_CODE";"FIRST_NAME";"LAST_NAME";"FIRST_NAME_MB";"LAST_NAME_MB";"GENDER_CODE";"JOB_POSITION_EN";"JOB_POSITION_FR";"JOB_POSITION_DE";"JOB_POSITION_NL";"JOB_POSITION_JA";"JOB_POSITION_CS";"JOB_POSITION_HU";"JOB_POSITION_KO";"JOB_POSITION_PT";"JOB_POSITION_SC";"JOB_POSITION_TC";"JOB_POSITION_DA";"JOB_POSITION_EL";"JOB_POSITION_FI";"JOB_POSITION_IT";"JOB_POSITION_NO";"JOB_POSITION_PL";"JOB_POSITION_RU";"JOB_POSITION_SV";"JOB_POSITION_ES";"JOB_POSITION_TH";"JOB_POSITION_MS";"JOB_POSITION_ID";"PHONE_NUMBER";"EXTENSION";"FAX";"EMAIL"
"3156";"20149";"Kevin";"Faber";"Kevin";"Faber";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (605) 342-8532";NULL;"1 (605) 342-8752";"Faber@mozzer88.com"
"3157";"20146";"Larry";"Seymour";"Larry";"Seymour";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"1 (317) 573-0594";"3495";"1 (317) 573-0634";"Seymour@mozzer88.com"
"3158";"20144";"Stephen";"Kimura";"Stephen";"Kimura";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (208) 389-2164";NULL;"1 (208) 389-0064";"Kimura@mozzer88.com"
"3159";"20145";"Ellen";"Tondera";"Ellen";"Tondera";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (773) 227-6534";"435";"1 (773) 227-3124";"Tondera@mozzer88.com"
"3160";"20147";"Susan";"Bernat";"Susan";"Bernat";"1";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"1 (313) 894-5875";NULL;"1 (313) 894-5432";"Bernat@mozzer88.com"
"3161";"20150";"Charles";"Schilling";"Charles";"Schilling";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (907) 272-4780";"654";"1 (907) 272-4732";"pumped@houseofwaresfr.com"
"3162";"20151";"Ryan";"Livingston";"Ryan";"Livingston";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (808) 737-3861";NULL;"1 (808) 737-0961";"Livingston@cc4;lf.com"
"3163";"20153";"Vinay";"Acharya";"Vinay";"Acharya";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (303) 449-1188";NULL;"1 (303) 449-1786";"Acharya@utc67.com"
"3164";"20152";"Carl";"Armstead";"Carl";"Armstead";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (619) 223-5354";NULL;"1 (619) 223-2358";"Armstead@utc67.com"
"3165";"20154";"Robert";"Young";"Robert";"Young";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (303) 808-3333";NULL;"1 (303) 808-2341";"Young@utc67.com"
"3166";"20155";"Evelyn";"Maloney";"Evelyn";"Maloney";"1";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (319) 390-2219";NULL;"1 (319) 390-5310";"Maloney@amerih.net"
"3167";"20158";"Brian";"Acker";"Brian";"Acker";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (617) 742-8645";NULL;"1 (617) 742-9745";"Acker@amerih.net"
"3168";"20163";"Russell";"Martin";"Russell";"Martin";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (215) 925-9521";NULL;"1 (215) 925-9321";"Martin@amerih.net"
"3169";"20162";"Maurice";"Engels";"Maurice";"Engels";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"1 (212) 535-6141";NULL;"1 (212) 535-3166";"Engels@amerih.net"
"3170";"20157";"Kathleen";"Webb";"Kathleen";"Webb";"1";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"1 (207) 774-1224";NULL;"1 (207) 774-1568";"Webb@amerih.net"
"3171";"20161";"Jason";"Bingley";"Jason";"Bingley";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"1 (212) 620-6473";"12";"1 (212) 620-1955";"Bingley@amerih.net"
"3172";"20156";"Kelly";"Marshall";"Kelly";"Marshall";"1";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (785) 273-5453";"1125";"1 (785) 273-5453";"Marshall@amerih.net"
"3173";"20160";"Richard";"Austin";"Richard";"Austin";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"1 (212) 620-4982";NULL;"1 (212) 620-9173";"Austin@amerih.net"
"3174";"20159";"Ronald";"Leboeuf";"Ronald";"Leboeuf";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"1 (609) 344-9511";NULL;"1 (609) 344-2211";"Leboeuf@amerih.net"
"3175";"20165";"Rebbeca";"Kaplan";"Rebbeca";"Kaplan";"1";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"1 (303) 449-1354";NULL;"1 (303) 449-5774";"Kaplan@westonoutfitter.com"
"3176";"20167";"Patricia";"Morgan";"Patricia";"Morgan";"1";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (504) 924-6598";NULL;"1 (504) 924-6521";"Morgan@westonoutfitter.com"
"3177";"20164";"Nicole";"Heinkel";"Nicole";"Heinkel";"1";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"1 (619) 223-1235";"64";"1 (619) 223-1245";"Heinkel@westonoutfitter.com"
"3178";"20166";"Louis";"Feldcamp";"Louis";"Feldcamp";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"1 (303) 808-9383";NULL;"1 (303) 808-6548";"Feldcamp@westonoutfitter.com"
"3179";"20197";"Bernard";"Boivin";"Bernard";"Boivin";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+33 3 27 17 41 04";NULL;"+33 3 17 17 67 23";"Boivin@wndee.net"
"3180";"20195";"André";"Katz";"André";"Katz";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 1 72 25 23 45";NULL;"+33 1 72 25 34 53";"Katz@wndee.net"
"3181";"20196";"Jacques";"Lemieux";"Jacques";"Lemieux";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+33 1 92 93 74 65";NULL;"+33 1 92 93 67 81";"Lemieux@wndee.net"
"3182";"20198";"Martin";"Faucher";"Martin";"Faucher";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 4 78 09 54 67";NULL;"+33 4 78 09 48 61";"Faucher@spclub67.com"
"3183";"20199";"Paul";"Houle";"Paul";"Houle";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+33 4 68 92 06 98";NULL;"+37 4 68 92 06 78";"Houle@spclub67.com"
"3184";"20200";"Stéphanie";"Hatley";"Stéphanie";"Hatley";"1";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+33 2 97 38 21 76";NULL;"+33 2 97 38 67 87";"Purchaser@anprna.net"
"3185";"20203";"Françoise";"Cartier";"Françoise";"Cartier";"1";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 1 15 16 22 29";NULL;"+33 1 15 17 65 89";"Cartier@cordagesdiscount.com"
"3186";"20204";"Fabien";"Deguerre";"Fabien";"Deguerre";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+33 1 33 98 02 02";NULL;"+33 1 33 98 31 25";"Deguerre@cordagesdiscount.com"
"3187";"20202";"Robert";"Drouin";"Robert";"Drouin";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 4 35 22 12 34";NULL;"+33 4 35 22 65 42";"Drouin@cordagesdiscount.com"
"3188";"20201";"Armand";"Letendre";"Armand";"Letendre";"0";"Site Manager";"Chef de bureau";"Filialleiter";"Filiaalmanager";"??";"Vedoucí pobo?ky";"Telephelyi menedzser";"??? ???";"Gerente de loja";"????";"?????";"Butikschef";"?????????? ????????????";"Toimipaikan johtaja";"Responsabile di sede";"Butikksjef";"Kierownik oddzia?u";"???????? ???????? ?????";"Platschef";"Director de oficina";"?????????????";"Pengurus Tapak";"Manajer Situs";"+33 4 29 82 53 30";NULL;"+33 4 29 82 64 83";"Letendre@cordagesdiscount.com"
"3189";"20207";"Lucie";"Belisle";"Lucie";"Belisle";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+33 5 40 47 76 54";NULL;"+33 5 40 47 76 53";"Belisle@aentz.com"
"3190";"20206";"Gabriel";"Brien";"Gabriel";"Brien";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+33 4 46 43 31 90";NULL;"+33 4 46 43 47 17";"Brien@aentz.com"
"3191";"20205";"Jean";"Daumont";"Jean";"Daumont";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 5 32 95 59 29";NULL;"+33 5 32 59 87 69";"Daumont@aentz.com"
"3192";"20208";"Maurice";"Joliette";"Maurice";"Joliette";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+33 3 86 75 38 38";NULL;"+33 3 86 75 38 39";"Joliette@aentz.com"
"3193";"20209";"Jacques";"Lalumière";"Jacques";"Lalumière";"0";"Assistant Purchaser";"Acheteur";"Einkaufsassistent";"Inkoopassistent";"????????";"Asistent nákup?ího";"Segédbeszerz?";"?? ???";"Assistente de compras";"?????";"????";"Indkøbsassistent";"?????? ??????????";"Sisäänostajan avustaja";"Assistente responsabile degli acquisti";"Innkjøpsassistent";"Asystent dzia?u zakupów";"????????? ?? ????????";"Inköpsassistent";"Ayudante de compras";"??????????????";"Pembantu Pembeli";"Assistant Purchaser";"+33 4 89 36 49 53";NULL;"+33 4 16 25 34 99";"Stockroom@oetl12.com"
"3194";"20214";"Pierre";"Aubert";"Pierre";"Aubert";"0";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+33 3 47 52 19 81";NULL;"+33 3 47 52 18 90";"Aubert@csauvage.net"
"3195";"20210";"Marc";"Caron";"Marc";"Caron";"0";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"+33 4 73 48 34 62";NULL;"+33 4 73 38 24 52";"Caron@csauvage.net"
"3196";"20213";"Robert";"Desautels";"Robert";"Desautels";"0";"Stock Manager";"Gestionnaire des stocks";"Lagerleiter";"Voorraadmanager";"???????";"Správce skladu";"Raktározási vezet?";"??? ???";"Gerente de estoques";"????";"????";"Lagerchef";"???????????? ??????????";"Varastopäällikkö";"Responsabile di magazzino";"Lagerleder";"Kierownik magazynu";"???????? ??????";"Lagerchef";"Director de almacén";"???????????????????";"Pengurus Stok";"Manajer Stok";"+33 1 25 46 78 90";"3322";"+33 1 25 46 41 51";"Desautels@csauvage.net"
"3197";"20211";"Chantale";"Gagnon";"Chantale";"Gagnon";"1";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+33 5 32 67 34 90";NULL;"+33 5 48 23 19 34";"Gagnon@csauvage.net"
"3198";"20212";"Jean";"Islet";"Jean";"Islet";"0";"Chief Purchaser";"Acheteur en chef";"Einkaufsleiter";"Inkoopmanager";"?????";"Hlavní nákup?í";"Beszerz?";"?? ?? ???";"Diretor de compras";"?????";"????";"Indkøbschef";"???????????? ???????? ??????????";"Sisäänostaja";"Responsabile degli acquisti";"Innkjøpssjef";"Szef dzia?u zakupów";"???????? ?? ????????";"Inköpschef";"Jefe de compras";"??????????????";"Ketua Pembeli";"Chief Purchaser";"+33 4 67 63 48 27";NULL;"+33 4 67 63 87 09";"Islet@csauvage.net"
"3199";"20215";"France";"Anbert";"France";"Anbert";"1";"Site Assistant Manager";"Chef adjoint de bureau";"Assistent des Filialleiters";"Filiaalassistent";"???";"Asistent vedoucího pobo?ky";"Telephelyi beosztott menedzser";"??? ?? ???";"Sub-gerente de loja";"??????";"????";"Souschef";"????????????? ????????????";"Toimipaikan johtajan avustaja";"Viceresponsabile di sede";"Assisterende butikksjef";"Asystent kierownika oddzia?u";"???. ????????? ???????? ?????";"Biträdande platschef";"Director adjunto de oficina";"????????????????????";"Pembantu Pengurus Tapak";"Asisten Manajer Situs";"+33 2 07 52 41 78";"453";"+33 2 07 52 48 97";"Anbert@grandchoixnet.com"
"3200";"20218";"Jacqueline";"Faubert";"Jacqueline";"Faubert";"1";"District Manager";"Directeur de district";"Bezirksleiter";"Districtmanager";"?????";"Oblastní ?editel";"Körzeti menedzser";"?? ???";"Gerente de área";"????";"????";"Områdechef";"????????????? ??????????";"Aluepäällikkö";"Responsabile di zona";"Distriktssjef";"Dyrektor okr?;wy";"???????? pa?o?a";"Distriktschef";"Director de distrito";"????????????";"Pengurus Daerah";"Manajer Distrik";"+33 2 52 31 22 44";NULL;"+33 2 52 31 11 44";"Faubert@grandchoixnet.com"
